Company,"CIK Code","IRS Number",Ticker,Market,"Bus Street 1","Bus Street 2",City,County,"State Code","State Name","State Region",Zip,"Bus Phone","Parent CIK","Parent Name","SIC Code","SIC Description","NAICS Code","NAICS Description","Filer Act","S&P Index",Auditor,"Auditor Key","Auditor Affiliate","Auditor City","Auditor State Code","Auditor State Name","Auditor State Region","IC Opinion Key","Internal Control Report","Restated Internal Control Report",Opinion,"Agrees with Management","IC Framework","Effective Internal Controls","Year Ended Date","Fiscal Year","Signature Date","Note Dates","Filing Index Page","Source FTP Key",Source,"Source Date","Accounting Rule (GAAP/FASB) Application Failures","Financial Fraud, Irregularities and Misrepresentations","Errors in Accounting and Clerical Applications","Internal Control Weakness","Internal Control - Number Weaknesses Identified",Exemption(s),"Fees Currency","Audit Fees ($)","Non-Audit Fees ($)","Total Fees ($)","Share Price","Stock Price Date","Market Cap ($)","Financials Date","Revenue ($)","Earnings ($)","Book Value ($)","Assets ($)","First Auditor Report","First Management Report"
"UNION PACIFIC CORP",100885,13-2626465,UNP,NYSE,"1400 DOUGLAS STREET","STOP 0310",OMAHA,Douglas,NE,NEBRASKA,"US Midwest",68179,"(402) 544-6763",,,4011,"Railroads, Line-haul Operating",482111,"Line-Haul Railroads",34,"S&P 500","Deloitte & Touche LLP",3,,Omaha,NE,NEBRASKA,"US Midwest",197552,"Auditor Report",No,"Separate from Financial Statement Opinion",Yes,2013,Yes,2021-12-31,2021,2022-02-04,,https://www.sec.gov/Archives/edgar/data/100885/000143774922002494/0001437749-22-002494-index.htm,edgar/data/100885/0001437749-22-002494.txt,10-K,"2022-02-04 15:59:07",,,,,0,,USD,"3,226,600","652,412","3,879,012",251.03,2021-12-29,"161,381,089,280",2021-12-31,"21,804,000,000","6,523,000,000",,"63,525,000,000",,
"VALMONT INDUSTRIES INC",102729,47-0351813,VMI,NYSE,"15000 VALMONT PLAZA",,OMAHA,Douglas,NE,NEBRASKA,"US Midwest",68154,"(402) 963-1000",,,3440,"Fabricated Structural Metal Products",238120,"Structural Steel and Precast Concrete Contractors",34,"S&P 400 MidCap","Deloitte & Touche LLP",3,,Omaha,NE,NEBRASKA,"US Midwest",199230,"Auditor Report",No,"Separate from Financial Statement Opinion",Yes,2013,Yes,2021-12-25,2021,2022-02-23,,https://www.sec.gov/Archives/edgar/data/102729/000010272922000008/0000102729-22-000008-index.htm,edgar/data/102729/0000102729-22-000008.txt,10-K,"2022-02-23 16:25:47",,,,,0,,USD,"2,465,798","789,903","3,255,701",246.61,2021-12-27,"5,234,096,128",2021-12-25,"3,501,575,000","195,630,000","277,716,000","3,447,249,000",,
"ACI WORLDWIDE, INC.",935036,47-0772104,ACIW,"NASDAQ Global Select Market","2811 PONCE DE LEON BLVD PH1",,"CORAL GABLES",Miami-Dade,FL,FLORIDA,"US Southeast",33134,"(239) 403-4600",,,7372,"Prepackaged Software",511210,"Software Publishers",34,"S&P 400 MidCap","Deloitte & Touche LLP",3,,Omaha,NE,NEBRASKA,"US Midwest",199620,"Auditor Report",No,"Separate from Financial Statement Opinion",Yes,2013,Yes,2021-12-31,2021,2022-02-24,,https://www.sec.gov/Archives/edgar/data/935036/000093503622000010/0000935036-22-000010-index.htm,edgar/data/935036/0000935036-22-000010.txt,10-K,"2022-02-24 15:55:33",,,,,0,,USD,"3,209,096","771,466","3,980,562",35.15,2021-12-29,"4,132,460,800",2021-12-31,"1,370,598,000","127,791,000","-476,235,000","3,158,741,000",,
"BERKSHIRE HATHAWAY INC",1067983,47-0813844,BRK.A,NYSE,"3555 FARNAM STREET",,OMAHA,Douglas,NE,NEBRASKA,"US Midwest",68131,"(402) 346-1400",,,6331,"Fire, Marine, and Casualty Insurance",524130,"Reinsurance Carriers",34,"S&P 500","Deloitte & Touche LLP",3,,Omaha,NE,NEBRASKA,"US Midwest",200759,"Auditor Report",No,"Integrated with Financial Statement Opinion",Yes,2013,Yes,2021-12-31,2021,2022-02-26,,https://www.sec.gov/Archives/edgar/data/1067983/000156459022007322/0001564590-22-007322-index.htm,edgar/data/1067983/0001564590-22-007322.txt,10-K,"2022-02-28 06:04:52",,,,,0,,USD,"47,300,000","1,830,000","49,130,000",452102,2021-12-29,"280,275,222,528",2021-12-31,"354,745,000,000","89,795,000,000","403,838,000,000","958,784,000,000",,
"Criteo S.A.",1576427,00-0000000,CRTO,"NASDAQ Global Select Market","32 RUE BLANCHE",,PARIS,,I0,FRANCE,Foreign,75009,33140402290,,,7311,"Advertising Agencies",541810,"Advertising Agencies",34,,"Deloitte & Touche LLP",3,"Deloitte & Associés",Paris,I0,FRANCE,Foreign,200468,"Auditor Report",No,"Separate from Financial Statement Opinion",Yes,2013,Yes,2021-12-31,2021,2022-02-25,,https://www.sec.gov/Archives/edgar/data/1576427/000157642722000009/0001576427-22-000009-index.htm,edgar/data/1576427/0001576427-22-000009.txt,10-K,"2022-02-25 16:08:59",,,,,0,,USD,"2,473,000","468,000","2,941,000",38.74,2021-12-29,"2,352,380,416",2021-12-31,"2,254,235,000","137,647,000","750,805,000","1,983,591,000",,
ORANGE,1038143,99-9999999,ORAN,NYSE,"78 RUE OLIVIER DE SERRES","CEDEX 1",PARIS,,I0,FRANCE,Foreign,75015,33144442222,,,4813,"Telephone Communications, Except Radiotelephone",517310,"Telecommunications Resellers",34,,"Deloitte & Touche LLP",3,"Deloitte & Associés",Paris,I0,FRANCE,Foreign,205238,"Auditor Report",No,"Separate from Financial Statement Opinion",Yes,2013,Yes,2021-12-31,2021,2022-03-03,,https://www.sec.gov/Archives/edgar/data/1038143/000163462122000007/0001634621-22-000007-index.htm,edgar/data/1038143/0001634621-22-000007.txt,20-F,"2022-04-01 09:59:53",,,,,0,,USD,"21,652,312","1,064,869","22,717,179",10.66,2021-12-29,"28,342,716,416",2021-12-31,"48,356,000,000","262,000,000","-7,723,000,000","122,898,000,000",,
"Burlington Stores, Inc.",1579298,80-0895227,BURL,NYSE,"1830 ROUTE 130 NORTH",,BURLINGTON,Burlington,NJ,"NEW JERSEY","US Mid Atlantic",08016,"(609) 387-7800",,,5311,"Department Stores",448140,"Family Clothing Stores",34,,"Deloitte & Touche LLP",3,,Parsippany,NJ,"NEW JERSEY","US Mid Atlantic",192593,"Auditor Report",No,"Separate from Financial Statement Opinion",Yes,2013,Yes,2021-01-30,2021,2021-03-15,,https://www.sec.gov/Archives/edgar/data/1579298/000156459021013162/0001564590-21-013162-index.htm,edgar/data/1579298/0001564590-21-013162.txt,10-K,"2021-03-15 16:19:05",,,,,0,,USD,"1,633,485","278,406","1,911,891",248.33,2021-02-01,"16,449,417,216",2021-01-30,"5,763,980,000","-216,499,000","179,690,000","6,781,092,000",,
"AUTOMATIC DATA PROCESSING INC",8670,22-1467904,ADP,"NASDAQ Global Select Market","ONE ADP BOULVARD",,ROSELAND,Essex,NJ,"NEW JERSEY","US Mid Atlantic",07068,"(973) 974-5000",,,7374,"Computer Processing and Data Preparation and Processing Services",518210,"Data Processing, Hosting, and Related Services",34,"S&P 500","Deloitte & Touche LLP",3,,Parsippany,NJ,"NEW JERSEY","US Mid Atlantic",196028,"Auditor Report",No,"Separate from Financial Statement Opinion",Yes,2013,Yes,2021-06-30,2021,2021-08-04,,https://www.sec.gov/Archives/edgar/data/8670/000000867021000027/0000008670-21-000027-index.htm,edgar/data/8670/0000008670-21-000027.txt,10-K,"2021-08-04 14:06:37",,,,,0,,USD,"9,042,000","2,975,000","12,017,000",201.48,2021-07-02,"85,733,433,344",2021-06-30,"15,005,400,000","2,598,500,000","2,121,600,000","48,772,500,000",,
"NEW JERSEY RESOURCES CORP",356309,22-2376465,NJR,NYSE,"1415 WYCKOFF RD","PO BOX 1468",WALL,Monmouth,NJ,"NEW JERSEY","US Mid Atlantic",07719,"(732) 938-1000",,,4924,"Natural Gas Distribution",221210,"Natural Gas Distribution",34,"S&P 400 MidCap","Deloitte & Touche LLP",3,,Parsippany,NJ,"NEW JERSEY","US Mid Atlantic",196880,"Auditor Report",No,"Separate from Financial Statement Opinion",Yes,2013,Yes,2021-09-30,2021,2021-11-18,,https://www.sec.gov/Archives/edgar/data/356309/000035630921000095/0000356309-21-000095-index.htm,edgar/data/356309/0000356309-21-000095.txt,10-K,"2021-11-18 16:34:56",,,,,0,,USD,"2,810,397","139,467","2,949,864",34.83,2021-09-28,"3,358,792,704",2021-09-30,"2,156,613,000","117,890,000","1,620,251,000","5,722,278,000",,
"BRISTOL MYERS SQUIBB CO",14272,22-0790350,BMY,NYSE,"430 E. 29TH STREET","14 FLOOR","NEW YORK","New York",NY,"NEW YORK","US Mid Atlantic",10016,"(212) 546-4000",,,2834,"Pharmaceutical Preparations",325412,"Pharmaceutical Preparation Manufacturing",34,"S&P 500","Deloitte & Touche LLP",3,,Parsippany,NJ,"NEW JERSEY","US Mid Atlantic",197652,"Auditor Report",No,"Separate from Financial Statement Opinion",Yes,2013,Yes,2021-12-31,2021,2022-02-08,,https://www.sec.gov/Archives/edgar/data/14272/000001427222000051/0000014272-22-000051-index.htm,edgar/data/14272/0000014272-22-000051.txt,10-K,"2022-02-09 11:44:38",,,,,0,,USD,"18,530,000","10,290,000","28,820,000",62.29,2021-12-29,"138,261,676,032",2021-12-31,"46,385,000,000","6,994,000,000","-27,083,000,000","109,314,000,000",,
"CHURCH & DWIGHT CO INC /DE/",313927,13-4996950,CHD,NYSE,"500 CHARLES EWING BOULEVARD",,EWING,Mercer,NJ,"NEW JERSEY","US Mid Atlantic",08628,"(609) 806-1200",,,2840,"Soap, Detergents, Cleang Preparations, Perfumes, Cosmetics",325611,"Soap and Other Detergent Manufacturing",34,"S&P 500","Deloitte & Touche LLP",3,,Parsippany,NJ,"NEW JERSEY","US Mid Atlantic",198304,"Auditor Report",No,"Separate from Financial Statement Opinion",Yes,2013,Yes,2021-12-31,2021,2022-02-17,,https://www.sec.gov/Archives/edgar/data/313927/000156459022005528/0001564590-22-005528-index.htm,edgar/data/313927/0001564590-22-005528.txt,10-K,"2022-02-17 14:06:45",,,,,0,,USD,"3,592,406","575,717","4,168,123",100.98,2021-12-29,"24,654,102,528",2021-12-31,"5,190,100,000","827,500,000","-2,535,600,000","7,996,500,000",,
"PBF Logistics LP",1582568,35-2470286,,,"ONE SYLVAN WAY, SECOND FLOOR",,PARSIPPANY,Morris,NJ,"NEW JERSEY","US Mid Atlantic",07054,"(973) 455-7500",1534504,"PBF Energy Inc.",4610,"Pipelines, Except Natural Gas",486110,"Pipeline Transportation of Crude Oil",34,,"Deloitte & Touche LLP",3,,Parsippany,NJ,"NEW JERSEY","US Mid Atlantic",198331,"Auditor Report",No,"Separate from Financial Statement Opinion",Yes,2013,Yes,2021-12-31,2021,2022-02-17,,https://www.sec.gov/Archives/edgar/data/1582568/000158256822000008/0001582568-22-000008-index.htm,edgar/data/1582568/0001582568-22-000008.txt,10-K,"2022-02-17 15:38:07",,,,,0,,USD,"824,000","402,471","1,226,471",11.25,2021-12-29,"703,317,760",2021-12-31,"355,535,000","153,287,000","242,364,000","901,297,000",,
"PBF Energy Inc.",1534504,45-3763855,PBF,NYSE,"1 SYLVAN WAY",,PARSIPPANY,Morris,NJ,"NEW JERSEY","US Mid Atlantic",07054,"(973) 455-7500",,,2911,"Petroleum Refining",324110,"Petroleum Refineries",34,"S&P 400 MidCap","Deloitte & Touche LLP",3,,Parsippany,NJ,"NEW JERSEY","US Mid Atlantic",198360,"Auditor Report",No,"Separate from Financial Statement Opinion",Yes,2013,Yes,2021-12-31,2021,2022-02-17,,https://www.sec.gov/Archives/edgar/data/1534504/000153450422000007/0001534504-22-000007-index.htm,edgar/data/1534504/0001534504-22-000007.txt,10-K,"2022-02-17 15:55:57",,,,,0,,USD,"4,742,125","500,221","5,242,346",13.29,2021-12-29,"1,598,062,848",2021-12-31,"27,253,400,000","231,000,000",,"11,641,400,000",,
"PPL Corp",922224,23-2758192,PPL,NYSE,"TWO N NINTH ST",,ALLENTOWN,Lehigh,PA,PENNSYLVANIA,"US Mid Atlantic",18101-1179,"(610) 774-5151",,,4911,"Electric Services",221122,"Electric Power Distribution",34,"S&P 500","Deloitte & Touche LLP",3,,Parsippany,NJ,"NEW JERSEY","US Mid Atlantic",198521,"Auditor Report",No,"Separate from Financial Statement Opinion",Yes,2013,Yes,2021-12-31,2021,2022-02-18,,https://www.sec.gov/Archives/edgar/data/922224/000092222422000005/0000922224-22-000005-index.htm,edgar/data/922224/0000922224-22-000005.txt,10-K,"2022-02-18 12:06:53",,,,,0,,USD,"5,902,000","2,958,000","8,860,000",29.79,2021-12-29,"22,363,826,176",2021-12-31,"5,783,000,000","-1,480,000,000","12,664,000,000","33,223,000,000",,
"Verisk Analytics, Inc.",1442145,26-2994223,VRSK,"NASDAQ Global Select Market","545 WASHINGTON BOULEVARD",,,Hudson,NJ,"NEW JERSEY","US Mid Atlantic",07310-1686,"(201) 469-2000",,,7374,"Computer Processing and Data Preparation and Processing Services",541611,"Administrative Management and General Management Consulting Services",34,"S&P 500","Deloitte & Touche LLP",3,,Parsippany,NJ,"NEW JERSEY","US Mid Atlantic",198937,"Auditor Report",No,"Separate from Financial Statement Opinion",Yes,2013,Yes,2021-12-31,2021,2022-02-22,,https://www.sec.gov/Archives/edgar/data/1442145/000143774922004083/0001437749-22-004083-index.htm,edgar/data/1442145/0001437749-22-004083.txt,10-K,"2022-02-22 16:56:55",,,,,0,,USD,"2,295,000","1,384,000","3,679,000",229.3,2021-12-29,"36,954,304,512",2021-12-31,"2,462,500,000","666,200,000","286,600,000","7,808,100,000",,
"CURTISS WRIGHT CORP",26324,13-0612970,CW,NYSE,"130 HARBOUR PLACE DRIVE","SUITE 300",DAVIDSON,Mecklenburg,NC,"NORTH CAROLINA","US Southeast",28036,"(704) 869-4600",,,3590,"Misc Industrial & Commercial Machinery & Equipment",336413,"Other Aircraft Parts and Auxiliary Equipment Manufacturing",34,"S&P 400 MidCap","Deloitte & Touche LLP",3,,Parsippany,NJ,"NEW JERSEY","US Mid Atlantic",199741,"Auditor Report",No,"Separate from Financial Statement Opinion",Yes,2013,Yes,2021-12-31,2021,2022-02-24,,https://www.sec.gov/Archives/edgar/data/26324/000002632422000004/0000026324-22-000004-index.htm,edgar/data/26324/0000026324-22-000004.txt,10-K,"2022-02-24 16:23:38",,,,,0,,USD,"3,820,000","217,000","4,037,000",138.79,2021-12-29,"5,446,078,976",2021-12-31,"2,505,931,000","267,159,000","-174,613,000","4,103,545,000",,
"PUBLIC SERVICE ENTERPRISE GROUP INC",788784,22-2625848,PEG,NYSE,"CORPORATE ACCOUNTING SERVICES","80 PARK PLAZA, 9TH FLOOR",NEWARK,Essex,NJ,"NEW JERSEY","US Mid Atlantic",07102-4194,"(973) 430-7000",,,4931,"Electric and Other Services Combined",221111,"Hydroelectric Power Generation",34,"S&P 500","Deloitte & Touche LLP",3,,Parsippany,NJ,"NEW JERSEY","US Mid Atlantic",199789,"Auditor Report",No,"Separate from Financial Statement Opinion",Yes,2013,Yes,2021-12-31,2021,2022-02-24,,https://www.sec.gov/Archives/edgar/data/788784/000162828022003860/0001628280-22-003860-index.htm,edgar/data/788784/0001628280-22-003860.txt,10-K,"2022-02-24 17:12:39",,,,,0,,USD,"7,300,000","300,000","7,600,000",65.97,2021-12-29,"33,358,632,960",2021-12-31,"9,722,000,000","-648,000,000","14,418,000,000","48,999,000,000",,
"VONAGE HOLDINGS CORP",1272830,11-3547680,,,"101 CRAWFORDS CORNER ROAD","SUITE 2416, 4TH FLOOR, BUILDING 2",HOLMDEL,Monmouth,NJ,"NEW JERSEY","US Mid Atlantic",07733,"(732) 528-2600",,,4813,"Telephone Communications, Except Radiotelephone",517910,"Other Telecommunications",34,,"Deloitte & Touche LLP",3,,Parsippany,NJ,"NEW JERSEY","US Mid Atlantic",199958,"Auditor Report",No,"Separate from Financial Statement Opinion",Yes,2013,Yes,2021-12-31,2021,2022-02-24,,https://www.sec.gov/Archives/edgar/data/1272830/000127283022000040/0001272830-22-000040-index.htm,edgar/data/1272830/0001272830-22-000040.txt,10-K,"2022-02-24 17:08:18",,,,,0,,USD,"2,926,982","1,510,057","4,437,039",20.78,2021-12-29,"5,246,404,608",2021-12-31,"1,409,015,000","-24,497,000","-265,063,000","1,388,144,000",,
"Akero Therapeutics, Inc.",1744659,81-5266573,AKRO,"NASDAQ Global Select Market","601 GATEWAY BOULEVARD, SUITE 350",,"SOUTH SAN FRANCISCO","San Mateo",CA,CALIFORNIA,"US West",94080,"(650) 487-6488",,,2834,"Pharmaceutical Preparations",325412,"Pharmaceutical Preparation Manufacturing",34,,"Deloitte & Touche LLP",3,,Parsippany,NJ,"NEW JERSEY","US Mid Atlantic",200121,"Auditor Report",No,"Separate from Financial Statement Opinion",Yes,2013,Yes,2021-12-31,2021,2022-02-25,,https://www.sec.gov/Archives/edgar/data/1744659/000155837022002052/0001558370-22-002052-index.htm,edgar/data/1744659/0001558370-22-002052.txt,10-K,"2022-02-25 07:39:34",,,,,0,,USD,"872,753","1,895","874,648",21.28,2021-12-29,"742,423,040",2021-12-31,0,"-100,777,000",,"195,548,000",Yes,
"Akero Therapeutics, Inc.",1744659,81-5266573,AKRO,"NASDAQ Global Select Market","601 GATEWAY BOULEVARD, SUITE 350",,"SOUTH SAN FRANCISCO","San Mateo",CA,CALIFORNIA,"US West",94080,"(650) 487-6488",,,2834,"Pharmaceutical Preparations",325412,"Pharmaceutical Preparation Manufacturing",34,,"Deloitte & Touche LLP",3,,Parsippany,NJ,"NEW JERSEY","US Mid Atlantic",201916,"Auditor Report","Yes (1)","Separate from Financial Statement Opinion",Yes,2013,Yes,2021-12-31,2021,2022-02-25,,https://www.sec.gov/Archives/edgar/data/1744659/000110465922028838/0001104659-22-028838-index.htm,edgar/data/1744659/0001104659-22-028838.txt,10-K/A,"2022-03-01 18:31:47",,,,,0,,USD,"872,753","1,895","874,648",21.28,2021-12-29,"742,423,040",2021-12-31,0,"-100,777,000",,"195,548,000",Yes,
"LINCOLN EDUCATIONAL SERVICES CORP",1286613,57-1150621,LINC,"NASDAQ Global Select Market","14 SYLVAN WAY","SUITE A",PARSIPPANY,Morris,NJ,"NEW JERSEY","US Mid Atlantic",07054,"(973) 736-9340",,,8200,"Services-Educational Services",923110,"Administration of Education Programs",34,,"Deloitte & Touche LLP",3,,Parsippany,NJ,"NEW JERSEY","US Mid Atlantic",202129,"Auditor Report",No,"Separate from Financial Statement Opinion",Yes,2013,Yes,2021-12-31,2021,2022-03-03,,https://www.sec.gov/Archives/edgar/data/1286613/000114036122007738/0001140361-22-007738-index.htm,edgar/data/1286613/0001140361-22-007738.txt,10-K,"2022-03-03 17:18:29",,,,,0,,USD,"945,000","195,925","1,140,925",7.56,2021-12-29,"204,125,200",2021-12-31,"335,336,000","34,718,000","126,864,000","295,299,000",,
"URBAN OUTFITTERS INC",912615,23-2003332,URBN,"NASDAQ Global Select Market","5000 SOUTH BROAD STREET",,PHILADELPHIA,Philadelphia,PA,PENNSYLVANIA,"US Mid Atlantic",19112,"(215) 454-5500",,,5651,"Family Clothing Stores",448140,"Family Clothing Stores",34,"S&P 600 SmallCap","Deloitte & Touche LLP",3,,Philadelphia,PA,PENNSYLVANIA,"US Mid Atlantic",194325,"Auditor Report",No,"Separate from Financial Statement Opinion",Yes,2013,Yes,2021-01-31,2021,2021-04-01,,https://www.sec.gov/Archives/edgar/data/912615/000156459021017306/0001564590-21-017306-index.htm,edgar/data/912615/0001564590-21-017306.txt,10-K,"2021-04-01 16:17:15",,,,,0,,USD,"1,422,346",0,"1,422,346",27.23,2021-02-02,"2,662,723,072",2021-01-31,"3,449,749,000","1,236,000",,"3,546,345,000",,
"RITE AID CORP",84129,23-1614034,RAD,NYSE,"1200 INTREPID AVENUE, 2ND FLOOR",,"CAMP HILL",Philadelphia,PA,PENNSYLVANIA,"US Mid Atlantic",19112,"(717) 761-2633",,,5912,"Drug Stores and Proprietary Stores",446110,"Pharmacies and Drug Stores",34,,"Deloitte & Touche LLP",3,,Philadelphia,PA,PENNSYLVANIA,"US Mid Atlantic",194926,"Auditor Report",No,"Separate from Financial Statement Opinion",Yes,2013,Yes,2021-02-27,2021,2021-04-27,,https://www.sec.gov/Archives/edgar/data/84129/000155837021004887/0001558370-21-004887-index.htm,edgar/data/84129/0001558370-21-004887.txt,10-K,"2021-04-27 14:18:01",,,,,0,"|Ex - Acquisition(s) during the past year (exemption)|",USD,"2,400,000","200,000","2,600,000",21.09,2021-03-01,"1,164,681,856",2021-02-27,"24,043,240,000","-90,909,000","-833,501,000","9,335,404,000",,
"TE Connectivity Ltd.",1385157,98-0518048,TEL,NYSE,"MUHLENSTRASSE 26",,SCHAFFHAUSEN,,V8,SWITZERLAND,Foreign,CH-8200,"41 0 52 633 6661",,,5065,"Electronic Parts and Equipment, NEC",517212,"Cellular and Other Wireless Telecommunications",34,"S&P 500","Deloitte & Touche LLP",3,,Philadelphia,PA,PENNSYLVANIA,"US Mid Atlantic",196764,"Auditor Report",No,"Separate from Financial Statement Opinion",Yes,2013,Yes,2021-09-24,2021,2021-11-09,,https://www.sec.gov/Archives/edgar/data/1385157/000155837021015228/0001558370-21-015228-index.htm,edgar/data/1385157/0001558370-21-015228.txt,10-K,"2021-11-09 13:43:16",,,,,0,,USD,"11,258,000","405,000","11,663,000",140.54,2021-09-22,"46,096,687,104",2021-09-24,"14,923,000,000","2,261,000,000","3,609,000,000","21,462,000,000",,
"BrightView Holdings, Inc.",1734713,46-4190788,BV,NYSE,"980 JOLLY ROAD","SUITE 300","BLUE BELL",Montgomery,PA,PENNSYLVANIA,"US Mid Atlantic",19422,"(484) 567-7204",,,0700,"Agricultural services",561730,"Landscaping Services",34,,"Deloitte & Touche LLP",3,,Philadelphia,PA,PENNSYLVANIA,"US Mid Atlantic",196842,"Auditor Report",No,"Separate from Financial Statement Opinion",Yes,2013,Yes,2021-09-30,2021,2021-11-17,,https://www.sec.gov/Archives/edgar/data/1734713/000095017021004707/0000950170-21-004707-index.htm,edgar/data/1734713/0000950170-21-004707.txt,10-K,"2021-11-17 06:25:26",,,,,0,,USD,"2,915,000","1,160,175","4,075,175",14.92,2021-09-28,"1,569,610,240",2021-09-30,"2,553,600,000","46,300,000","-805,700,000","3,237,600,000",,
"Air Products & Chemicals, Inc.",2969,23-1274455,APD,NYSE,"1940 AIR PRODUCTS BLVD.",,ALLENTOWN,Lehigh,PA,PENNSYLVANIA,"US Mid Atlantic",18106-5500,"(610) 481-4911",,,2810,"Industrial Inorganic Chemicals",325120,"Industrial Gas Manufacturing",34,"S&P 500","Deloitte & Touche LLP",3,,Philadelphia,PA,PENNSYLVANIA,"US Mid Atlantic",196872,"Auditor Report",No,"Integrated with Financial Statement Opinion",Yes,2013,Yes,2021-09-30,2021,2021-11-18,,https://www.sec.gov/Archives/edgar/data/2969/000000296921000055/0000002969-21-000055-index.htm,edgar/data/2969/0000002969-21-000055.txt,10-K,"2021-11-18 14:04:47",,,,,0,,USD,"6,700,000","700,000","7,400,000",262.31,2021-09-28,"58,066,165,760",2021-09-30,"10,323,000,000","2,099,100,000","12,207,500,000","26,859,200,000",,
Aramark,1584509,20-8236097,ARMK,NYSE,"2400 MARKET STREET",,PHILADELPHIA,Philadelphia,PA,PENNSYLVANIA,"US Mid Atlantic",19103,"(215) 238-3000",,,5812,"Eating and Drinking Places",722310,"Food Service Contractors",34,,"Deloitte & Touche LLP",3,,Philadelphia,PA,PENNSYLVANIA,"US Mid Atlantic",196988,"Auditor Report",No,"Separate from Financial Statement Opinion",Yes,2013,Yes,2021-10-01,2021,2021-11-23,,https://www.sec.gov/Archives/edgar/data/1584509/000158450921000256/0001584509-21-000256-index.htm,edgar/data/1584509/0001584509-21-000256.txt,10-K,"2021-11-23 16:43:12",,,,,0,,USD,"4,666,000","1,477,644","6,143,644",33.58,2021-09-29,"8,571,015,680",2021-10-01,"12,095,965,000","-90,833,000","-4,783,997,000","14,376,164,000",,
"COMCAST CORP",1166691,27-0000798,CMCSA,"NASDAQ Global Select Market","1500 MARKET STREET",,PHILADELPHIA,Philadelphia,PA,PENNSYLVANIA,"US Mid Atlantic",19102,"(215) 665-1700",,,4841,"Cable and Other Pay Television Services",517510,"Cable and Other Program Distribution",34,"S&P 500","Deloitte & Touche LLP",3,,Philadelphia,PA,PENNSYLVANIA,"US Mid Atlantic",197492,"Auditor Report",No,"Integrated with Financial Statement Opinion",Yes,2013,Yes,2021-12-31,2021,2022-02-02,,https://www.sec.gov/Archives/edgar/data/1166691/000116669122000009/0001166691-22-000009-index.htm,edgar/data/1166691/0001166691-22-000009.txt,10-K,"2022-02-02 15:15:17",,,,,0,,USD,"25,100,000","2,200,000","27,300,000",50.59,2021-12-29,"230,664,028,160",2021-12-31,"116,385,000,000","14,159,000,000","-66,524,000,000","275,905,000,000",,
"Brixmor Property Group Inc.",1581068,45-2433192,BRX,NYSE,"450 LEXINGTON AVENUE",,"NEW YORK","New York",NY,"NEW YORK","US Mid Atlantic",10017,"(212) 869-3000",,,6798,"Real Estate Investment Trusts",525930,"Real Estate Investment Trusts",34,"S&P 400 MidCap","Deloitte & Touche LLP",3,,Philadelphia,PA,PENNSYLVANIA,"US Mid Atlantic",197580,"Auditor Report",No,"Separate from Financial Statement Opinion",Yes,2013,Yes,2021-12-31,2021,2022-02-07,,https://www.sec.gov/Archives/edgar/data/1581068/000158106822000012/0001581068-22-000012-index.htm,edgar/data/1581068/0001581068-22-000012.txt,10-K,"2022-02-07 16:12:55",,,,,0,,USD,"1,467,703","257,462","1,725,165",25.07,2021-12-29,"7,445,500,416",2021-12-31,"1,152,274,000","270,187,000",,"8,377,393,000",,
"Avantor, Inc.",1722482,82-2758923,AVTR,NYSE,"RADNOR CORPORATE CENTER, BUILDING ONE","SUITE 200, 100 MATSONFORD ROAD",RADNOR,Delaware,PA,PENNSYLVANIA,"US Mid Atlantic",19087,"(610) 386-1700",,,3826,"Laboratory Analytical Instruments",325188,"All Other Basic Inorganic Chemical Manufacturing",34,,"Deloitte & Touche LLP",3,,Philadelphia,PA,PENNSYLVANIA,"US Mid Atlantic",197867,"Auditor Report",No,"Separate from Financial Statement Opinion",Yes,2013,Yes,2021-12-31,2021,2022-02-11,,https://www.sec.gov/Archives/edgar/data/1722482/000172248222000030/0001722482-22-000030-index.htm,edgar/data/1722482/0001722482-22-000030.txt,10-K,"2022-02-11 16:28:18",,,,,0,"|Ex - Acquisition(s) during the past year (exemption)|",USD,"4,852,000","176,000","5,028,000",41.74,2021-12-29,"25,438,556,160",2021-12-31,"7,386,100,000","572,600,000","-6,284,400,000","13,897,200,000",,
"GLOBUS MEDICAL INC",1237831,04-3744954,GMED,NYSE,"2560 GENERAL ARMISTEAD AVENUE",,AUDUBON,Montgomery,PA,PENNSYLVANIA,"US Mid Atlantic",19403,"(610) 930-1800",,,3841,"Surgical and Medical Instruments and Apparatus",423450,"Medical, Dental, and Hospital Equipment and Supplies Merchant Wholesalers",34,"S&P 400 MidCap","Deloitte & Touche LLP",3,,Philadelphia,PA,PENNSYLVANIA,"US Mid Atlantic",198337,"Auditor Report",No,"Separate from Financial Statement Opinion",Yes,2013,Yes,2021-12-31,2021,2022-02-17,,https://www.sec.gov/Archives/edgar/data/1237831/000156276222000037/0001562762-22-000037-index.htm,edgar/data/1237831/0001562762-22-000037.txt,10-K,"2022-02-17 17:22:06",,,,,0,,USD,"1,282,649","15,195","1,297,844",73.46,2021-12-29,"7,454,046,720",2021-12-31,"958,102,000","149,191,000","1,493,020,000","1,957,263,000",,
